22:18:32.958 total=63.86ms control=29.58ms rotation=2.03ms vertical=0.34ms translation=28.49ms movable=10
22:18:34.978 total=6.34ms control=0.06ms rotation=0.05ms vertical=0.00ms translation=6.21ms movable=10
22:18:37.014 total=5.61ms control=0.05ms rotation=0.05ms vertical=0.00ms translation=5.49ms movable=10
22:18:39.029 total=6.12ms control=0.05ms rotation=0.04ms vertical=0.00ms translation=6.01ms movable=10
22:18:41.032 total=5.27ms control=0.04ms rotation=0.04ms vertical=0.00ms translation=5.17ms movable=10
22:18:43.036 total=5.23ms control=0.04ms rotation=0.04ms vertical=0.00ms translation=5.14ms movable=10
22:18:45.055 total=5.38ms control=0.05ms rotation=0.04ms vertical=0.00ms translation=5.27ms movable=10
22:18:47.055 total=4.76ms control=0.03ms rotation=0.04ms vertical=0.00ms translation=4.67ms movable=10
22:18:49.066 total=5.24ms control=0.16ms rotation=0.04ms vertical=0.00ms translation=5.01ms movable=10
22:18:51.071 total=4.89ms control=0.14ms rotation=0.04ms vertical=0.00ms translation=4.69ms movable=10
22:18:53.098 total=6.27ms control=0.13ms rotation=0.04ms vertical=0.00ms translation=6.07ms movable=10
22:18:55.110 total=5.35ms control=0.16ms rotation=0.04ms vertical=0.00ms translation=5.13ms movable=10
22:18:57.137 total=5.38ms control=0.22ms rotation=0.05ms vertical=0.00ms translation=5.10ms movable=10
22:18:59.138 total=4.85ms control=0.11ms rotation=0.04ms vertical=0.00ms translation=4.68ms movable=10
22:19:01.144 total=4.82ms control=0.13ms rotation=0.04ms vertical=0.00ms translation=4.63ms movable=10
22:19:03.161 total=4.43ms control=0.13ms rotation=0.04ms vertical=0.00ms translation=4.25ms movable=10
22:19:05.193 total=5.18ms control=0.16ms rotation=0.04ms vertical=0.00ms translation=4.95ms movable=10
22:19:07.199 total=4.82ms control=0.04ms rotation=0.04ms vertical=0.00ms translation=4.71ms movable=10
22:19:09.223 total=5.03ms control=0.05ms rotation=0.04ms vertical=0.00ms translation=4.91ms movable=10
22:19:11.243 total=4.84ms control=0.04ms rotation=0.04ms vertical=0.00ms translation=4.74ms movable=10
22:19:51.701 total=7.30ms control=0.20ms rotation=0.07ms vertical=0.00ms translation=6.98ms movable=10
22:19:53.730 total=5.00ms control=0.17ms rotation=0.05ms vertical=0.00ms translation=4.75ms movable=10
22:20:00.803 total=1.65ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=1.42ms movable=10
22:20:02.810 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.60ms movable=10
22:20:05.153 total=1.46ms control=0.02ms rotation=0.01ms vertical=0.00ms translation=1.40ms movable=10
22:20:07.167 total=0.86ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
22:20:09.181 total=0.26ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.24ms movable=10
22:20:11.214 total=11.13ms control=0.02ms rotation=0.31ms vertical=0.00ms translation=10.77ms movable=10
22:20:13.225 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:20:15.227 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:20:17.244 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:20:19.249 total=0.02ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:20:21.271 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:20:23.283 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
