22:18:32.971 total=79.33ms reload=0.20ms input=2.02ms motion=65.17ms filter=0.00ms rules=11.92ms select=0.01ms entities=15 projectiles=0
22:18:34.979 total=7.46ms reload=0.00ms input=0.01ms motion=6.97ms filter=0.00ms rules=0.47ms select=0.00ms entities=15 projectiles=0
22:18:37.015 total=6.65ms reload=0.00ms input=0.01ms motion=6.16ms filter=0.00ms rules=0.47ms select=0.01ms entities=15 projectiles=0
22:18:39.030 total=7.27ms reload=0.00ms input=0.01ms motion=6.62ms filter=0.00ms rules=0.63ms select=0.00ms entities=15 projectiles=0
22:18:41.033 total=6.44ms reload=0.00ms input=0.00ms motion=5.87ms filter=0.00ms rules=0.55ms select=0.01ms entities=15 projectiles=1
22:18:43.037 total=6.36ms reload=0.00ms input=0.00ms motion=5.85ms filter=0.00ms rules=0.49ms select=0.00ms entities=15 projectiles=1
22:18:45.057 total=6.77ms reload=0.00ms input=0.01ms motion=6.29ms filter=0.00ms rules=0.46ms select=0.00ms entities=15 projectiles=0
22:18:47.095 total=6.05ms reload=0.00ms input=0.01ms motion=5.01ms filter=0.00ms rules=1.02ms select=0.00ms entities=15 projectiles=0
22:18:49.115 total=6.54ms reload=0.00ms input=0.02ms motion=5.70ms filter=0.00ms rules=0.82ms select=0.01ms entities=15 projectiles=0
22:18:51.118 total=6.82ms reload=0.00ms input=0.01ms motion=5.51ms filter=0.00ms rules=1.29ms select=0.01ms entities=15 projectiles=2
22:18:53.154 total=54.39ms reload=0.00ms input=0.00ms motion=52.67ms filter=0.00ms rules=1.71ms select=0.01ms entities=15 projectiles=1
22:18:55.165 total=5.91ms reload=0.00ms input=0.01ms motion=5.13ms filter=0.00ms rules=0.77ms select=0.00ms entities=15 projectiles=1
22:18:57.176 total=5.35ms reload=0.00ms input=0.01ms motion=4.74ms filter=0.00ms rules=0.59ms select=0.00ms entities=15 projectiles=0
22:18:59.218 total=5.95ms reload=0.00ms input=0.01ms motion=5.18ms filter=0.00ms rules=0.75ms select=0.00ms entities=15 projectiles=1
22:19:01.232 total=6.08ms reload=0.00ms input=0.01ms motion=5.25ms filter=0.00ms rules=0.80ms select=0.01ms entities=15 projectiles=1
22:19:03.248 total=5.18ms reload=0.00ms input=0.01ms motion=4.59ms filter=0.00ms rules=0.58ms select=0.00ms entities=15 projectiles=0
22:19:05.278 total=5.23ms reload=0.00ms input=0.01ms motion=4.62ms filter=0.00ms rules=0.59ms select=0.00ms entities=15 projectiles=0
22:19:07.287 total=5.80ms reload=0.00ms input=0.01ms motion=5.18ms filter=0.00ms rules=0.61ms select=0.00ms entities=15 projectiles=0
22:19:09.308 total=5.79ms reload=0.00ms input=0.01ms motion=5.17ms filter=0.00ms rules=0.60ms select=0.00ms entities=15 projectiles=0
22:19:51.703 total=8.95ms reload=0.05ms input=0.02ms motion=8.19ms filter=0.01ms rules=0.68ms select=0.01ms entities=15 projectiles=0
22:19:53.731 total=6.21ms reload=0.06ms input=0.01ms motion=5.60ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=0
22:20:00.805 total=3.31ms reload=0.03ms input=0.01ms motion=2.63ms filter=0.01ms rules=0.61ms select=0.01ms entities=15 projectiles=0
22:20:02.811 total=1.87ms reload=0.03ms input=0.01ms motion=1.14ms filter=0.00ms rules=0.68ms select=0.01ms entities=15 projectiles=0
22:20:05.155 total=4.05ms reload=0.43ms input=0.02ms motion=2.59ms filter=0.01ms rules=0.98ms select=0.02ms entities=15 projectiles=0
22:20:07.169 total=2.15ms reload=0.07ms input=0.01ms motion=1.44ms filter=0.00ms rules=0.62ms select=0.01ms entities=15 projectiles=0
22:20:09.182 total=1.26ms reload=0.04ms input=0.01ms motion=0.77ms filter=0.00ms rules=0.44ms select=0.00ms entities=15 projectiles=0
22:20:11.217 total=13.57ms reload=0.04ms input=0.01ms motion=12.51ms filter=0.01ms rules=1.00ms select=0.01ms entities=15 projectiles=0
22:20:13.226 total=1.02ms reload=0.04ms input=0.01ms motion=0.52ms filter=0.00ms rules=0.45ms select=0.00ms entities=15 projectiles=0
22:20:15.228 total=1.13ms reload=0.03ms input=0.01ms motion=0.51ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=0
22:20:17.245 total=1.18ms reload=0.12ms input=0.01ms motion=0.58ms filter=0.00ms rules=0.46ms select=0.00ms entities=15 projectiles=0
22:20:19.251 total=1.62ms reload=0.05ms input=0.01ms motion=0.64ms filter=0.01ms rules=0.91ms select=0.01ms entities=15 projectiles=0
22:20:21.272 total=1.32ms reload=0.04ms input=0.01ms motion=0.62ms filter=0.00ms rules=0.65ms select=0.01ms entities=15 projectiles=0
22:20:23.285 total=1.71ms reload=0.03ms input=0.01ms motion=0.79ms filter=0.01ms rules=0.86ms select=0.01ms entities=15 projectiles=0
