22:18:22.521 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:18:22.528 source=RMUC2026_MAP.terraincache.lz4 gpu_chunk_build=background_started
22:18:25.027 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:18:29.385 source=RMUC2026_MAP.terraincache.lz4 original_triangles=8821113/10511992 chunks=112/112 chunk_size_m=2 vertices=26463339
22:18:29.392 gpu_prewarm uploaded_chunks=8 resident_vertices=10500 pending_upload_chunks=104 total_triangles=8821113
22:18:29.394 gpu_stream visible_vertices=23367285 resident_vertices=13116 draw_calls=16 pending_upload_chunks=78 total_triangles=8821113
22:18:29.442 gpu_prewarm uploaded_chunks=8 resident_vertices=2664891 pending_upload_chunks=88 total_triangles=8821113
22:18:29.547 gpu_prewarm uploaded_chunks=8 resident_vertices=9716727 pending_upload_chunks=72 total_triangles=8821113
22:18:29.643 gpu_prewarm uploaded_chunks=5 resident_vertices=15903627 pending_upload_chunks=59 total_triangles=8821113
22:18:29.744 gpu_prewarm uploaded_chunks=8 resident_vertices=22193877 pending_upload_chunks=43 total_triangles=8821113
22:18:29.781 gpu_prewarm uploaded_chunks=8 resident_vertices=23362266 pending_upload_chunks=27 total_triangles=8821113
22:18:29.830 gpu_prewarm uploaded_chunks=1 resident_vertices=23367285 pending_upload_chunks=18 total_triangles=8821113
22:18:31.395 gpu_stream visible_vertices=23367285 resident_vertices=23367285 draw_calls=94 pending_upload_chunks=0 total_triangles=8821113
22:18:33.407 gpu_stream visible_vertices=17093760 resident_vertices=23372724 draw_calls=95 pending_upload_chunks=0 total_triangles=8821113
22:18:35.438 gpu_stream visible_vertices=17093610 resident_vertices=26459892 draw_calls=94 pending_upload_chunks=0 total_triangles=8821113
22:18:37.444 gpu_stream visible_vertices=17093760 resident_vertices=26459892 draw_calls=95 pending_upload_chunks=0 total_triangles=8821113
22:18:39.461 gpu_stream visible_vertices=17093610 resident_vertices=26459892 draw_calls=94 pending_upload_chunks=0 total_triangles=8821113
22:18:41.484 gpu_stream visible_vertices=5310486 resident_vertices=26463339 draw_calls=24 pending_upload_chunks=0 total_triangles=8821113
22:18:43.490 gpu_stream visible_vertices=11578314 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:18:45.492 gpu_stream visible_vertices=14866371 resident_vertices=26463339 draw_calls=86 pending_upload_chunks=0 total_triangles=8821113
22:18:47.503 gpu_stream visible_vertices=14866680 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:18:49.504 gpu_stream visible_vertices=14867121 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:18:51.507 gpu_stream visible_vertices=14866518 resident_vertices=26463339 draw_calls=72 pending_upload_chunks=0 total_triangles=8821113
22:18:53.552 gpu_stream visible_vertices=14859897 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:18:55.596 gpu_stream visible_vertices=14866518 resident_vertices=26463339 draw_calls=72 pending_upload_chunks=0 total_triangles=8821113
