timestamp,frame_index,fps,event_avg_ms,event_p95_ms,frame_avg_ms,frame_p95_ms,update_avg_ms,update_p95_ms,render_avg_ms,render_p95_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1776603840.122,1,50,0.010,0.010,26.820,26.820,1.691,1.691,25.118,25.118,0.081,0.184,0.445,0.791,0.145,0.006
1776603845.129,181,50,0.437,1.076,27.782,33.017,0.999,1.289,26.346,31.502,0.072,0.140,0.453,0.039,0.262,0.004
1776603850.155,355,50,0.434,1.082,28.307,37.721,1.005,1.277,26.867,35.824,0.072,0.155,0.448,0.037,0.261,0.004
1776603855.181,534,50,0.396,1.063,28.217,37.900,0.986,1.252,26.834,36.000,0.071,0.143,0.443,0.036,0.260,0.004
1776613032.833,1,50,0.013,0.013,26.514,26.514,1.550,1.550,24.950,24.950,0.100,0.209,0.566,0.412,0.152,0.006
1776613037.847,176,50,0.157,0.331,28.606,31.674,1.072,1.320,27.376,30.376,0.059,0.176,0.471,0.037,0.262,0.004
1776613042.860,337,50,0.176,0.419,29.799,41.073,1.059,1.308,28.563,39.755,0.059,0.169,0.465,0.035,0.266,0.004
1776613047.862,517,50,0.273,0.564,29.086,40.281,1.048,1.307,27.765,38.754,0.058,0.175,0.455,0.034,0.260,0.004
1776613052.882,624,50,0.277,0.564,29.541,40.569,1.045,1.286,28.219,38.806,0.058,0.178,0.451,0.034,0.258,0.004
1776706654.614,1,50,0.023,0.023,25.137,25.137,1.338,1.338,23.776,23.776,0.075,0.185,0.445,0.440,0.143,0.006
1776706659.639,174,50,0.551,0.927,28.990,38.367,0.958,1.292,27.481,37.056,0.064,0.130,0.432,0.035,0.261,0.004
1776706664.651,343,50,0.522,1.017,29.300,38.301,0.976,1.238,27.801,36.873,0.065,0.151,0.433,0.034,0.258,0.004
