frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.028,0.013,1.550,24.950,26.514,0.100,0.209,0.566,0.412,0.152,0.006
2,0.056,0.260,2.115,27.086,29.463,0.077,0.259,0.610,0.043,1.045,0.004
3,0.086,0.023,0.946,25.080,26.049,0.058,0.187,0.483,0.036,0.115,0.004
4,0.112,0.012,1.155,25.297,26.464,0.055,0.167,0.442,0.031,0.395,0.004
5,0.138,0.017,0.980,25.424,26.422,0.067,0.188,0.475,0.038,0.129,0.004
6,0.165,0.011,1.154,25.995,27.161,0.057,0.174,0.449,0.033,0.373,0.004
7,0.192,0.012,0.907,25.292,26.212,0.056,0.178,0.449,0.034,0.115,0.004
8,0.218,0.126,1.129,27.579,28.834,0.054,0.168,0.427,0.030,0.390,0.004
9,0.247,0.389,1.118,25.828,27.336,0.070,0.215,0.587,0.032,0.128,0.004
10,0.274,0.115,1.623,29.759,31.498,0.090,0.208,0.679,0.042,0.522,0.005
11,0.306,0.176,1.066,29.641,30.884,0.064,0.231,0.526,0.038,0.140,0.004
12,0.337,0.277,1.246,26.313,27.836,0.055,0.181,0.526,0.037,0.381,0.004
13,0.365,0.259,1.000,25.432,26.692,0.054,0.178,0.529,0.036,0.138,0.004
14,0.391,0.197,1.286,27.405,28.889,0.052,0.154,0.558,0.034,0.427,0.005
15,0.420,0.247,0.916,27.072,28.236,0.054,0.162,0.478,0.031,0.134,0.004
16,0.449,0.278,1.142,25.646,27.067,0.057,0.162,0.454,0.033,0.370,0.004
17,0.476,0.226,1.002,26.670,27.898,0.064,0.194,0.526,0.033,0.120,0.004
18,0.504,0.147,1.179,26.999,28.325,0.054,0.163,0.489,0.034,0.380,0.004
19,0.532,0.262,0.897,25.228,26.388,0.056,0.168,0.464,0.034,0.114,0.004
20,0.558,0.204,1.315,26.242,27.762,0.063,0.189,0.570,0.035,0.392,0.004
21,0.586,0.230,0.926,27.043,28.199,0.052,0.164,0.488,0.036,0.128,0.004
22,0.614,0.272,1.120,25.205,26.597,0.056,0.159,0.434,0.031,0.375,0.003
23,0.641,0.211,0.819,25.010,26.040,0.052,0.156,0.417,0.029,0.109,0.003
24,0.667,0.096,1.066,26.071,27.232,0.053,0.158,0.420,0.030,0.350,0.004
25,0.694,0.138,0.914,26.445,27.498,0.062,0.193,0.454,0.032,0.110,0.003
26,0.722,0.104,1.097,26.854,28.056,0.052,0.157,0.431,0.031,0.372,0.004
27,0.750,0.037,0.853,30.784,31.674,0.056,0.166,0.425,0.032,0.110,0.004
28,0.781,0.011,1.137,26.605,27.754,0.057,0.171,0.452,0.032,0.358,0.004
29,0.809,0.011,0.905,27.028,27.945,0.055,0.165,0.463,0.034,0.133,0.003
30,0.837,0.011,1.152,26.672,27.836,0.057,0.180,0.441,0.037,0.375,0.003
31,0.865,0.111,0.842,24.830,25.783,0.054,0.162,0.427,0.030,0.110,0.003
32,0.891,0.196,1.229,25.638,27.064,0.053,0.189,0.498,0.032,0.400,0.004
33,0.918,0.231,0.836,26.749,27.815,0.053,0.153,0.416,0.029,0.125,0.003
34,0.946,0.305,1.338,26.209,27.853,0.060,0.187,0.591,0.036,0.400,0.003
35,0.974,0.265,0.930,27.632,28.828,0.061,0.197,0.462,0.030,0.116,0.004
36,1.002,0.275,1.144,26.978,28.397,0.059,0.169,0.439,0.032,0.384,0.004
37,1.031,0.097,0.868,27.094,28.059,0.055,0.164,0.444,0.030,0.116,0.004
38,1.059,0.095,1.135,26.936,28.167,0.054,0.162,0.457,0.035,0.370,0.003
39,1.087,0.039,0.961,28.314,29.314,0.056,0.213,0.464,0.038,0.120,0.004
40,1.116,0.099,1.166,27.271,28.536,0.060,0.170,0.460,0.033,0.380,0.003
41,1.145,0.172,0.916,29.209,30.297,0.056,0.167,0.465,0.035,0.132,0.004
42,1.175,0.030,1.188,27.589,28.807,0.061,0.183,0.472,0.032,0.372,0.004
43,1.204,0.011,1.018,28.707,29.736,0.057,0.177,0.475,0.043,0.198,0.006
44,1.234,0.013,1.146,28.764,29.923,0.057,0.180,0.447,0.032,0.365,0.004
45,1.264,0.014,1.337,28.474,29.826,0.081,0.266,0.750,0.031,0.119,0.003
46,1.294,0.023,1.142,27.549,28.715,0.056,0.179,0.443,0.032,0.367,0.003
47,1.322,0.012,0.997,27.363,28.372,0.070,0.189,0.476,0.034,0.154,0.005
48,1.351,0.010,1.200,27.789,29.000,0.054,0.176,0.484,0.036,0.390,0.004
