22:13:11.119 frame=127.34ms map=29.98ms/31535976v/1draw/31535976resident/0pending facility=6.65ms/252v/1draw unit=12.29ms/33336v/1draw projectile=0.91ms/0v/0draw flush=4.58ms overlay=66.53ms swap=0.19ms entities=10 projectiles=0
22:13:13.124 frame=4.65ms map=0.38ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=4.02ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.06ms entities=10 projectiles=0
22:13:15.172 frame=10.27ms map=0.49ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=3.11ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.29ms swap=0.05ms entities=10 projectiles=0
22:13:17.184 frame=10.07ms map=0.30ms/31535976v/1draw/31535976resident/0pending facility=0.02ms/252v/1draw unit=2.91ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.54ms swap=0.05ms entities=10 projectiles=0
22:13:19.206 frame=11.05ms map=0.50ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=3.29ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.82ms swap=0.05ms entities=10 projectiles=0
22:13:21.210 frame=10.14ms map=0.28ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.94ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.64ms swap=0.05ms entities=10 projectiles=0
22:13:23.252 frame=9.61ms map=0.28ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.93ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.13ms swap=0.05ms entities=10 projectiles=0
22:13:25.313 frame=9.05ms map=0.30ms/31535976v/1draw/31535976resident/0pending facility=0.02ms/252v/1draw unit=3.08ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=5.38ms swap=0.05ms entities=10 projectiles=0
22:13:27.323 frame=4.17ms map=0.46ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=3.25ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.05ms entities=10 projectiles=0
22:13:29.331 frame=9.41ms map=0.29ms/31535976v/1draw/31535976resident/0pending facility=0.02ms/252v/1draw unit=2.82ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=5.99ms swap=0.06ms entities=10 projectiles=0
22:13:31.350 frame=10.78ms map=0.35ms/31535976v/1draw/31535976resident/0pending facility=0.02ms/252v/1draw unit=2.94ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.19ms swap=0.05ms entities=10 projectiles=0
22:14:34.153 frame=23.77ms map=1.12ms/31535976v/1draw/31535976resident/0pending facility=0.05ms/252v/1draw unit=7.05ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.15ms overlay=14.84ms swap=0.07ms entities=11 projectiles=0
22:14:36.169 frame=22.46ms map=0.51ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=3.65ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.11ms overlay=17.96ms swap=0.09ms entities=11 projectiles=0
22:14:38.202 frame=17.93ms map=0.53ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=4.38ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.11ms overlay=12.43ms swap=0.12ms entities=11 projectiles=0
22:14:40.215 frame=17.38ms map=0.42ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=4.03ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.23ms overlay=12.33ms swap=0.07ms entities=11 projectiles=0
22:14:42.217 frame=18.30ms map=0.60ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=3.59ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=13.72ms swap=0.06ms entities=11 projectiles=0
22:14:44.278 frame=10.43ms map=0.58ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=3.00ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.51ms swap=0.04ms entities=11 projectiles=0
22:14:46.281 frame=10.59ms map=0.85ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.58ms swap=0.05ms entities=11 projectiles=0
22:14:48.289 frame=3.90ms map=0.74ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:14:50.294 frame=3.93ms map=0.76ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:14:52.308 frame=4.39ms map=0.87ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=3.01ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:14:54.312 frame=3.86ms map=0.74ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:14:56.336 frame=4.02ms map=0.83ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:14:58.348 frame=4.60ms map=0.99ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=3.24ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:15:00.362 frame=3.96ms map=0.73ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.93ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:15:02.391 frame=4.03ms map=0.80ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.91ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:15:04.407 frame=3.85ms map=0.72ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:15:06.426 frame=10.61ms map=0.76ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.61ms swap=0.08ms entities=11 projectiles=0
22:24:55.709 frame=97.08ms map=20.02ms/0v/0draw/0resident/0pending facility=5.27ms/252v/1draw unit=7.52ms/33336v/1draw projectile=0.72ms/0v/0draw flush=4.50ms overlay=52.63ms swap=0.19ms entities=11 projectiles=0
22:24:57.713 frame=3.34ms map=0.34ms/22171245v/97draw/22171245resident/0pending facility=0.02ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.03ms entities=11 projectiles=0
22:24:59.723 frame=9.91ms map=0.45ms/22171245v/97draw/22171245resident/0pending facility=0.03ms/252v/1draw unit=2.97ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.15ms swap=0.05ms entities=11 projectiles=0
22:25:01.780 frame=10.60ms map=0.32ms/22120527v/96draw/22171245resident/0pending facility=0.03ms/252v/1draw unit=2.99ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.00ms swap=0.05ms entities=11 projectiles=0
22:25:03.789 frame=3.88ms map=0.41ms/19267074v/85draw/24580131resident/0pending facility=0.03ms/252v/1draw unit=3.13ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:05.790 frame=12.92ms map=0.37ms/18217350v/57draw/25259235resident/0pending facility=0.03ms/252v/1draw unit=3.19ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=9.00ms swap=0.06ms entities=11 projectiles=0
22:25:07.811 frame=3.44ms map=0.27ms/18014505v/55draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:09.818 frame=3.51ms map=0.34ms/18012609v/51draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:11.831 frame=11.02ms map=0.36ms/19268586v/75draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=3.41ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.92ms swap=0.05ms entities=11 projectiles=0
22:25:13.851 frame=3.47ms map=0.31ms/19268754v/76draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:15.856 frame=12.55ms map=0.41ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.90ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=8.92ms swap=0.05ms entities=11 projectiles=0
22:25:17.859 frame=10.97ms map=0.36ms/19268754v/76draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.49ms swap=0.05ms entities=11 projectiles=0
22:25:19.865 frame=3.57ms map=0.37ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:21.871 frame=3.55ms map=0.33ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:23.873 frame=3.53ms map=0.35ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:25:25.880 frame=18.48ms map=0.37ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=3.17ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=14.69ms swap=0.04ms entities=11 projectiles=0
22:25:28.482 frame=11.39ms map=0.77ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=7.47ms swap=0.05ms entities=11 projectiles=0
22:25:30.487 frame=3.69ms map=0.45ms/19269651v/78draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.89ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:36:41.509 frame=81.19ms map=17.14ms/17761632v/16draw/13719resident/73pending facility=4.60ms/252v/1draw unit=6.86ms/33336v/1draw projectile=0.70ms/0v/0draw flush=1.20ms overlay=46.55ms swap=0.19ms entities=11 projectiles=0
22:36:43.511 frame=16.46ms map=0.34ms/17761632v/89draw/17761632resident/0pending facility=0.03ms/252v/1draw unit=2.81ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=13.10ms swap=0.05ms entities=11 projectiles=0
22:36:45.527 frame=46.35ms map=13.81ms/20170278v/96draw/20170278resident/0pending facility=0.05ms/252v/1draw unit=3.04ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=28.94ms swap=0.05ms entities=11 projectiles=0
22:36:47.600 frame=20.87ms map=10.81ms/9450924v/19draw/27127263resident/0pending facility=0.04ms/252v/1draw unit=2.94ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.77ms swap=0.05ms entities=11 projectiles=0
