07:14:44.825 entity=red_robot_1 role=hero team=red branch=direct total=6.14ms nav=1.13ms aim=0.08ms block=
07:14:47.239 entity=red_robot_1 role=hero team=red branch=fallback_direct total=32.90ms nav=31.81ms aim=0.00ms block=
07:14:47.599 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=34.82ms nav=34.80ms aim=0.00ms block=
07:14:47.971 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.29ms nav=31.28ms aim=0.00ms block=
07:14:48.351 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=33.71ms nav=33.70ms aim=0.00ms block=
07:14:48.716 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=33.29ms nav=33.28ms aim=0.00ms block=
07:14:49.086 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=39.73ms nav=39.71ms aim=0.00ms block=
07:14:49.443 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=43.47ms nav=43.46ms aim=0.00ms block=
07:14:49.795 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=32.20ms nav=32.18ms aim=0.00ms block=
07:14:50.154 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=37.57ms nav=37.55ms aim=0.00ms block=
07:14:50.528 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=41.66ms nav=41.64ms aim=0.00ms block=
07:14:50.888 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=39.55ms nav=39.53ms aim=0.00ms block=
07:14:51.240 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=37.08ms nav=37.07ms aim=0.00ms block=
07:14:51.595 entity=blue_robot_2 role=engineer team=blue branch=fallback_direct total=31.42ms nav=31.41ms aim=0.00ms block=
07:14:51.964 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.94ms nav=31.91ms aim=0.00ms block=
07:14:52.332 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=31.54ms nav=31.53ms aim=0.00ms block=
07:14:52.716 entity=blue_robot_2 role=engineer team=blue branch=fallback_direct total=44.43ms nav=44.42ms aim=0.00ms block=
07:14:53.090 entity=red_robot_1 role=hero team=red branch=fallback_direct total=37.98ms nav=37.96ms aim=0.00ms block=
07:14:53.469 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=35.52ms nav=35.51ms aim=0.00ms block=
07:14:53.835 entity=red_robot_1 role=hero team=red branch=fallback_direct total=35.74ms nav=35.72ms aim=0.00ms block=
07:14:54.185 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=34.92ms nav=34.91ms aim=0.00ms block=
07:14:54.543 entity=red_robot_2 role=engineer team=red branch=fallback_direct total=34.90ms nav=34.88ms aim=0.00ms block=
07:14:54.935 entity=red_robot_1 role=hero team=red branch=fallback_direct total=36.50ms nav=36.49ms aim=0.00ms block=
07:14:55.306 entity=blue_robot_2 role=engineer team=blue branch=fallback_direct total=31.51ms nav=31.49ms aim=0.00ms block=
07:14:55.673 entity=red_robot_1 role=hero team=red branch=fallback_direct total=38.32ms nav=38.28ms aim=0.01ms block=
07:14:56.046 entity=blue_robot_2 role=engineer team=blue branch=fallback_direct total=34.79ms nav=34.78ms aim=0.00ms block=
07:14:56.397 entity=red_robot_1 role=hero team=red branch=fallback_direct total=37.02ms nav=36.99ms aim=0.00ms block=
07:14:56.765 entity=red_robot_1 role=hero team=red branch=fallback_direct total=39.08ms nav=38.68ms aim=0.02ms block=
07:14:57.125 entity=red_robot_1 role=hero team=red branch=fallback_direct total=35.12ms nav=35.11ms aim=0.00ms block=
07:14:57.632 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=34.82ms nav=34.80ms aim=0.00ms block=
07:14:58.706 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=36.49ms nav=36.45ms aim=0.02ms block=
07:14:59.790 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=39.72ms nav=39.70ms aim=0.00ms block=
07:15:00.864 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=37.71ms nav=37.69ms aim=0.00ms block=
07:15:01.946 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=33.34ms nav=33.31ms aim=0.00ms block=
07:15:03.014 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=31.35ms nav=31.34ms aim=0.00ms block=
07:15:04.074 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.71ms nav=30.69ms aim=0.00ms block=
07:15:05.127 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.54ms nav=30.53ms aim=0.00ms block=
07:15:08.510 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.86ms nav=30.85ms aim=0.00ms block=
07:15:09.565 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.90ms nav=30.88ms aim=0.00ms block=
07:15:10.618 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.53ms nav=30.52ms aim=0.00ms block=
07:15:11.680 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.62ms nav=32.60ms aim=0.00ms block=
07:15:12.737 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.36ms nav=30.35ms aim=0.00ms block=
07:15:13.789 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.32ms nav=30.31ms aim=0.00ms block=
07:15:14.841 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.27ms nav=30.26ms aim=0.00ms block=
07:15:15.894 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.27ms nav=30.26ms aim=0.00ms block=
07:15:16.950 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.19ms nav=30.18ms aim=0.00ms block=
07:15:18.003 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.44ms nav=30.43ms aim=0.00ms block=
07:15:19.058 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.25ms nav=30.23ms aim=0.00ms block=
07:15:20.121 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.44ms nav=30.43ms aim=0.00ms block=
07:15:21.178 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.37ms nav=30.35ms aim=0.01ms block=
07:15:22.233 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.20ms nav=30.19ms aim=0.00ms block=
07:15:23.290 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.35ms nav=30.34ms aim=0.00ms block=
07:15:24.345 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=31.16ms nav=31.15ms aim=0.00ms block=
07:15:25.407 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.33ms nav=30.31ms aim=0.00ms block=
07:15:26.460 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.34ms nav=30.34ms aim=0.00ms block=
07:15:27.527 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=30.11ms nav=30.09ms aim=0.00ms block=
